2026-08-19 12:47:15 | INFO     | flet_runtime | Assets path configured: C:\Users\pc\Downloads\r116-platform\app\assets
2026-08-19 12:47:15 | INFO     | flet_runtime | Starting up TCP server on localhost:56142
2026-08-19 12:47:15 | INFO     | flet_runtime | Flet app has started...
2026-08-19 12:47:15 | INFO     | flet_runtime | App URL: tcp://localhost:56142
2026-08-19 12:47:15 | INFO     | flet_runtime | Starting Flet View app...
2026-08-19 12:47:15 | INFO     | flet_runtime | Flet View found in: C:\Users\pc\Downloads\r116-platform\venv\Lib\site-packages\flet\bin\flet\flet.exe
2026-08-19 12:47:17 | INFO     | flet_runtime | App session started
2026-08-21 14:13:34 | INFO     | __main__ | Demarrage de R116 Platform (env=development)
2026-08-21 14:13:34 | INFO     | __main__ | Base de donnees : C:\Users\pc\Downloads\r116-platform\data\r116.db
2026-08-21 14:13:34 | INFO     | flet_runtime | Assets path configured: C:\Users\pc\Downloads\r116-platform\app\assets
2026-08-21 14:13:34 | INFO     | flet_runtime | Starting up TCP server on localhost:49494
2026-08-21 14:13:34 | INFO     | flet_runtime | Flet app has started...
2026-08-21 14:13:34 | INFO     | flet_runtime | App URL: tcp://localhost:49494
2026-08-21 14:13:34 | INFO     | flet_runtime | Starting Flet View app...
2026-08-21 14:13:34 | INFO     | flet_runtime | Flet View found in: C:\Users\pc\Downloads\r116-platform\venv\Lib\site-packages\flet\bin\flet\flet.exe
2026-08-21 14:13:36 | INFO     | flet_runtime | App session started
2026-08-23 12:45:26 | INFO     | __main__ | Demarrage de R116 Platform (env=development)
2026-08-23 12:45:26 | INFO     | __main__ | Base de donnees : C:\Users\pc\Downloads\r116-platform\data\r116.db
2026-08-23 12:45:26 | INFO     | flet_runtime | Assets path configured: C:\Users\pc\Downloads\r116-platform\app\assets
2026-08-23 12:45:26 | INFO     | flet_runtime | Starting up TCP server on localhost:53032
2026-08-23 12:45:26 | INFO     | flet_runtime | Flet app has started...
2026-08-23 12:45:26 | INFO     | flet_runtime | App URL: tcp://localhost:53032
2026-08-23 12:45:26 | INFO     | flet_runtime | Starting Flet View app...
2026-08-23 12:45:26 | INFO     | flet_runtime | Flet View found in: C:\Users\pc\Downloads\r116-platform\venv\Lib\site-packages\flet\bin\flet\flet.exe
2026-08-23 12:45:28 | INFO     | flet_runtime | App session started
2026-08-23 12:56:32 | INFO     | __main__ | Demarrage de R116 Platform (env=development)
2026-08-23 12:56:32 | INFO     | __main__ | Base de donnees : C:\Users\pc\Downloads\r116-platform\data\r116.db
2026-08-23 12:56:32 | INFO     | flet_runtime | Assets path configured: C:\Users\pc\Downloads\r116-platform\app\assets
2026-08-23 12:56:32 | INFO     | flet_runtime | Starting up TCP server on localhost:54173
2026-08-23 12:56:32 | INFO     | flet_runtime | Flet app has started...
2026-08-23 12:56:32 | INFO     | flet_runtime | App URL: tcp://localhost:54173
